task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.15001364608622356,-0.18539359574250588,-0.11226455736469998,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.18717628872862566,-0.22396105377711345,-0.1493382304256372,0.0,0.0,970
picnicScene,SemanticFluencyScore,baseline,full,-0.19544321483848448,-0.23078563815754555,-0.15849424340197013,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.11131065090103749,-0.1616574076828209,-0.05739500948868955,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.14847329354343955,-0.19940229062385476,-0.09453723282116007,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,full,-0.15674021965329846,-0.20422716815556213,-0.10612881834724269,0.0,0.0,970
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.072608843943915,-0.0976076425371416,-0.04816292459241019,0.0,0.0,970
picnicScene,SemanticFluencyScore,acoustic,full,-0.08087577005377387,-0.10567078017913747,-0.056318847652306575,0.0,0.0,970
picnicScene,SemanticFluencyScore,linguistic,full,-0.045429568752260945,-0.06847653778453829,-0.021577235303432342,0.0,0.0,970
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.07586444959952456,-0.12885323824276088,-0.024893292945140887,0.001,0.005,970
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.037162642642402065,-0.0616738000442603,-0.012466511322905618,0.003,0.012,970
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.008266926109858875,-0.015086624220515762,-0.0018396418809658297,0.011,0.033,970
picnicScene,SemanticFluencyScore,baseline,demographics,-0.03870299518518607,-0.07994414527598133,0.002529336152198397,0.066,0.132,970
picnicScene,SemanticFluencyScore,acoustic,linguistic,-0.03544620130151294,-0.07740855252824695,0.007518537860069672,0.103,0.132,970
picnicScene,PhonemicFluencyScore,demographics,linguistic+acoustic,-0.07008471342033849,-0.11156700249855936,-0.028109394814524985,0.0,0.0,970
picnicScene,PhonemicFluencyScore,demographics,full,-0.07382636995616783,-0.11483244602896495,-0.033411306414095905,0.0,0.0,970
picnicScene,PhonemicFluencyScore,linguistic,linguistic+acoustic,-0.03174562292249987,-0.049591301692279134,-0.014508742264503756,0.0,0.0,970
picnicScene,PhonemicFluencyScore,linguistic,full,-0.0354872794583292,-0.05465953508921268,-0.017246195772798324,0.0,0.0,970
picnicScene,PhonemicFluencyScore,baseline,full,-0.05470281519738769,-0.08111775958511178,-0.026210873216893964,0.001,0.011,970
picnicScene,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.05096115866155837,-0.07797806392087145,-0.023036841718704834,0.002,0.02,970
picnicScene,PhonemicFluencyScore,demographics,acoustic,-0.06425875714780344,-0.10885369602787423,-0.019241450815002194,0.004,0.036000000000000004,970
picnicScene,PhonemicFluencyScore,baseline,acoustic,-0.04513520238902332,-0.07607005407767059,-0.013333726954697405,0.006,0.048,970
picnicScene,PhonemicFluencyScore,demographics,linguistic,-0.03833909049783862,-0.08170361132462176,0.004021822704890405,0.08,0.56,970
picnicScene,PhonemicFluencyScore,acoustic,linguistic,0.02591966664996482,-0.006065292691755548,0.06027023745666708,0.111,0.666,970
picnicScene,PhonemicFluencyScore,baseline,linguistic,-0.019215535739058497,-0.046151447874915416,0.008368443595370229,0.159,0.795,970
picnicScene,PhonemicFluencyScore,linguistic+acoustic,full,-0.003741656535829325,-0.010086060048663695,0.002685389431824871,0.208,0.832,970
picnicScene,PhonemicFluencyScore,baseline,demographics,0.01912355475878012,-0.016308936276982544,0.055713249330337444,0.312,0.9359999999999999,970
picnicScene,PhonemicFluencyScore,acoustic,linguistic+acoustic,-0.005825956272535054,-0.02641968587746084,0.014360588368053859,0.63,0.9359999999999999,970
picnicScene,PhonemicFluencyScore,acoustic,full,-0.009567612808364379,-0.03118509372858657,0.010195009004981027,0.402,0.9359999999999999,970
cookieTheft,PictureNamingScore,baseline,linguistic,-0.21615518172397755,-0.28413703263503426,-0.14711470379154354,0.0,0.0,959
