target,task,model,metric,estimate,ci_low,ci_high,n_subjects,n_boot
PictureNamingScore,journaling,full,r2,0.11813036700765234,0.05904281343724708,0.16873915471928844,959,1000
PictureNamingScore,journaling,full,rmse,2.567468687943995,2.3535701933329225,2.768456475722267,959,1000
PictureNamingScore,journaling,full,mae,1.8472522346732807,1.7331490181666087,1.962391788700208,959,1000
PictureNamingScore,journaling,linguistic,r2,0.09376677292528679,0.03679424407892434,0.14531185913999717,959,1000
PictureNamingScore,journaling,linguistic,rmse,2.602693051047865,2.4031985239531313,2.8199852502484166,959,1000
PictureNamingScore,journaling,linguistic,mae,1.8714305043664259,1.7625680720934063,1.9844215841116783,959,1000
PictureNamingScore,journaling,linguistic+acoustic,r2,0.1136333874509845,0.05997231632493399,0.167279973653992,959,1000
PictureNamingScore,journaling,linguistic+acoustic,rmse,2.574006600144966,2.37536398717513,2.778300551320116,959,1000
PictureNamingScore,journaling,linguistic+acoustic,mae,1.8518815299308944,1.743319026911712,1.9594452748072164,959,1000
PictureNamingScore,picnicScene,acoustic,r2,0.16102236341505693,0.08539415473334541,0.23634461687443822,959,1000
PictureNamingScore,picnicScene,acoustic,rmse,2.5042527195805833,2.2951044042779594,2.7258858429394053,959,1000
PictureNamingScore,picnicScene,acoustic,mae,1.796761282412906,1.6893359237075711,1.9150849196829716,959,1000
PictureNamingScore,picnicScene,baseline,r2,-0.0036655382345298637,-0.009168092827506124,-0.0015009701381330843,959,1000
PictureNamingScore,picnicScene,baseline,rmse,2.7390342824492784,2.528607531602564,2.9845687973202697,959,1000
PictureNamingScore,picnicScene,baseline,mae,1.9337835046025418,1.8243675603126368,2.0615115265101185,959,1000
PictureNamingScore,picnicScene,demographics,r2,0.02335702854513333,-0.038436738141242995,0.08362317603392783,959,1000
PictureNamingScore,picnicScene,demographics,rmse,2.701909984892585,2.5089275063674705,2.919419502695516,959,1000
PictureNamingScore,picnicScene,demographics,mae,1.947581340880379,1.841642730228291,2.067085550805571,959,1000
PictureNamingScore,picnicScene,full,r2,0.2611477964247253,0.17478906605846334,0.33354229895685306,959,1000
PictureNamingScore,picnicScene,full,rmse,2.3500751391564427,2.1380318093255974,2.5645342551822687,959,1000
PictureNamingScore,picnicScene,full,mae,1.6874022023985018,1.5859887098316363,1.7899989693197174,959,1000
PictureNamingScore,picnicScene,linguistic,r2,0.25591368605641873,0.1801891033785649,0.3329131019646687,959,1000
PictureNamingScore,picnicScene,linguistic,rmse,2.3583845444730507,2.158710587802127,2.5888568912184216,959,1000
PictureNamingScore,picnicScene,linguistic,mae,1.6971392031565706,1.5996686051869347,1.8087014540883777,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,r2,0.26201817238296865,0.185785840415603,0.34439871857012827,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,rmse,2.3486905241843004,2.1375230609276668,2.565051382959948,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,mae,1.686387387232876,1.5901013114543818,1.7961233707904674,959,1000
