feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
ADP,0.05496128057539897,0.0030207423624877285,1.0,0.11390910998390445,0.01297528533732524,0.013057671909811022,0.007418457193782292,5.5033507135980243e-05,1.0
ADV,-0.03525444069306256,0.0012428755885806652,1.0,-0.028096373776002676,0.0007894062193608509,1.0,-0.033033178173888074,0.0010911908602678354,1.0
AUX,-0.03277103078584084,0.0010739404587665282,1.0,-0.0794844876663374,0.006317783779580141,0.37147638370147046,-0.044329718962494456,0.0019651239832937407,1.0
CCONJ,0.07028664372553148,0.004940212286199793,0.6113875214573719,0.019521242773512665,0.00038107891942242044,1.0,0.003992303253945401,1.5938485271463037e-05,1.0
DET,0.12393556670391895,0.015360024694221543,0.0037113126349125006,0.1206681330279278,0.014560798328445678,0.006070576725283332,0.02831343655644022,0.0008016506896355654,1.0
NOUN,0.06608017875228966,0.004366590023934554,0.8109319972227865,0.152877849599639,0.023371636898209838,7.012075763833563e-05,0.0530725323587027,0.002816693690965545,1.0
PART,-0.014450998185657097,0.0002088313485618647,1.0,-0.059856980483037406,0.003582858112546721,1.0,0.025655708631323867,0.000658215385375386,1.0
PRON,-0.19818572383482067,0.039277581131931805,1.982929886923145e-08,-0.13278049373643178,0.0176306595168906,0.001299603060377684,-0.032451086034013824,0.001053072984786967,1.0
SCONJ,0.04791755091177955,0.0022960916853829853,1.0,-0.01668799804086414,0.0002784892786118854,1.0,0.0695719138480089,0.0048402511964747725,1.0
VERB,-0.08112572134546579,0.006581382663822164,0.2877354339932335,-0.12071974432446934,0.014573256669765248,0.006070576725283332,0.005592544129750423,3.1276549843205915e-05,1.0
noun_verb_ratio,0.08109281446008691,0.006576044557058081,0.2877354339932335,0.16225496963518185,0.026326675171313783,1.5401891067173353e-05,0.0074481448058243555,5.5474861048528327e-05,1.0
pronoun_noun_ratio,-0.15925474210507107,0.025362072882952696,2.435221428884285e-05,-0.19727753280142094,0.038918424948215714,2.344155256950123e-08,-0.06037939034211043,0.0036456707780849382,1.0
