score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling
brunets_index,9.599262664459658e-11,1.0493618093424217e-11,0.12355891520285525,0.009715014632167313,3.767496104649195e-06,0.003987230585710732,0.39240785823670354,0.1795539086987611,1.0
aoa_nouns,3.757321683121674e-21,1.2922021995603501e-06,0.00015705322207037713,1.8148047698137466e-08,0.020314604888008764,1.0,0.11316227463487229,1.0,1.0
mattr_30,1.2821388876176248e-10,9.924956287193139e-11,5.4428637508633595e-06,1.1512753769440224e-05,7.02331485488103e-05,0.0261800632140607,0.939239113952381,1.0,1.0
eGeMAPS_loudness_sma3_amean,5.8193244188259e-08,1.75056848495559e-09,5.455981311043236e-05,0.0013794162750541043,7.374073220156412e-05,7.787896306948015e-05,1.0,1.0,1.0
ADP,6.5639362162222286e-12,1.155354592553892e-13,1.0,3.211325417104849e-05,3.422171893321621e-05,0.013057671909811022,0.20693681641493955,0.20844743838814844,1.0
avg_pause_duration,3.6283346863296372e-12,2.531528237773086e-06,0.6108067276863087,4.171606320281355e-05,3.016744314729902e-05,1.0,0.054090387356223575,0.1076977965970722,1.0
aoa_verbs,9.355769865134179e-05,3.786676258644354e-05,0.22483678511621288,0.012685233541896334,0.00025937841197684836,1.0,0.007433412544027669,1.662877887092081e-05,0.5920895152232709
mattr_10,1.1540507714830368e-07,7.271482380993338e-10,2.2745176823897328e-05,0.0007772264808476046,0.030648190798866503,0.010998541657121831,1.0,1.0,1.0
freq_content,2.2062312674096408e-07,0.046300389565415136,0.0047495512644603515,0.0018540547986715466,0.5410952506807892,0.001299603060377684,1.0,0.005946702750990661,1.0
total_speech_duration,2.817658534309664e-11,,0.00032346754999626487,0.01467712041013454,,0.11155676885374803,1.0,,1.0
n_words,2.7011289193456624e-09,0.042680550483967024,0.00032346754999626487,0.0035331512292189897,0.13109236783616782,0.01631541775843549,1.0,1.0,1.0
n_pauses,1.0,1.0,0.03489628636698137,0.0004130958938816311,0.002085458113039218,3.196958371529222e-06,0.1642338654756738,0.10902589229545989,0.02780035572892478
article_pause_contentword,4.0057398532834105e-06,4.927221341216611e-05,,0.3349354604263852,0.8919956485648388,,1.0,1.0,
content_density,1.8896217427212394e-05,3.875817783641506e-10,1.0,0.6052612826949627,0.0012048139532499348,1.0,1.0,0.2994806905990815,1.0
avg_word_length,2.7039160709145683e-06,0.4424163458447697,0.28084514439213526,0.004702571862639515,0.009711577582877074,1.0,1.0,1.0,1.0
noun_verb_ratio,1.0,1.0,0.2877354339932335,0.017814934289137496,0.06256411060228051,1.5401891067173353e-05,1.0,0.2601927007421419,1.0
freq_nouns,0.0009855802918566701,0.0027995376040012955,0.0010474750914196691,1.0,1.0,1.0,1.0,1.0,1.0
eGeMAPS_loudness_sma3_percentile20.0,1.0,1.0,1.0,0.017814934289137496,0.036121107400860684,0.13344718172828182,0.1371546360115236,0.04061508633625804,0.548044714786761
ADJ,0.004996474346605757,0.018666237266456377,1.0,0.09843854640387396,0.037767595741603856,1.0,1.0,1.0,1.0
information_words_ratio,2.853443582506164e-06,0.004808080789777392,1.0,0.8653801969876881,0.44149752123006575,1.0,1.0,1.0,1.0
honores_statistic,1.0,1.0,0.03265636585479073,0.12104836005756184,1.0,0.6034790643499388,1.0,1.0,1.0
pronoun_noun_ratio,1.0,1.0,2.435221428884285e-05,1.0,1.0,2.344155256950123e-08,1.0,1.0,1.0
eGeMAPS_mfcc3_sma3_amean,,0.004495009014858758,0.0995663836105918,,1.0,1.0,,1.0,1.0
concr_content,0.22388044394863277,1.0,6.603553454493387e-05,1.0,1.0,0.001033725238208086,1.0,1.0,1.0
PRON,1.0,1.0,1.982929886923145e-08,1.0,1.0,0.001299603060377684,1.0,1.0,1.0
NOUN,1.0,1.0,0.8109319972227865,1.0,1.0,7.012075763833563e-05,1.0,1.0,1.0
DET,1.0,1.0,0.0037113126349125006,1.0,1.0,0.006070576725283332,1.0,1.0,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1.0,1.0,1.0,0.7839641492569234,0.7636616851846281,0.13659473842081707,1.0,1.0,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,1.0,1.0,1.0,0.3210854735984291,0.48228191843275586,0.16414761468784753,1.0,1.0,1.0
filler_word_ratio,0.21218182111302272,1.0,0.020454399315927546,1.0,1.0,1.0,1.0,1.0,1.0
nid_ratio,1.0,1.0,0.042453588857826664,1.0,0.05368105343277608,1.0,1.0,1.0,1.0
light_verb_ratio,0.3975651128712201,1.0,1.0,1.0,1.0,1.0,0.03328431314977244,1.0,1.0
concr_nouns,1.0,1.0,0.002039783068428424,1.0,1.0,1.0,1.0,1.0,1.0
freq_verbs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8132591990701966,1.0
concr_verbs,0.599404318533004,1.0,0.6108067276863087,1.0,1.0,0.24679678947829725,1.0,1.0,1.0
eGeMAPS_slopeV0-500_sma3nz_amean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
determiner_noun_ratio,1.0,1.0,0.16138616772917586,1.0,1.0,1.0,1.0,1.0,1.0
