feature,r_PictureNamingScore,r2_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,r2_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,r2_PhonemicFluencyScore,p_PhonemicFluencyScore
aoa_verbs,0.15560727557903697,0.024213624213130357,3.786676258644354e-05,0.14360945014272297,0.020623674170295234,0.00025937841197684836,0.16237747737190186,0.0263664451576625,1.662877887092081e-05
freq_content,-0.10145673758541686,0.010293469601476138,0.046300389565415136,-0.07501596392200763,0.00562739484314795,0.5410952506807892,-0.12195625339088342,0.014873327741141364,0.005946702750990661
freq_nouns,-0.12588987118249287,0.01584825966634465,0.0027995376040012955,-0.010669775797569836,0.00011384411557040703,1.0,-0.0665142867604653,0.004424150343253408,1.0
freq_verbs,-0.016831013221977303,0.0002832830060783748,1.0,-0.01442155557627193,0.0002079812652395,1.0,-0.07337931729559206,0.005384524206767177,0.8132591990701966
concr_content,0.017155837124399373,0.00029432274743891975,1.0,-0.017508329065881584,0.0003065415866791939,1.0,0.02337871785922393,0.0005465644487411958,1.0
concr_nouns,-0.0003992559939663985,1.5940534871809683e-07,1.0,-0.015891902154322617,0.0002525525540825638,1.0,-0.004979697080246367,2.479738301101419e-05,1.0
concr_verbs,0.020839514778208213,0.0004342853761911585,1.0,-0.033573286231110507,0.0011271655483560744,1.0,0.008995014881509398,8.091029271857552e-05,1.0
article_pause_contentword,0.1538202393257792,0.023660666026239993,4.927221341216611e-05,0.06799640973465744,0.004623511736803417,0.8919956485648388,0.06658925740091627,0.004434129201205482,1.0
ADJ,0.11002273103431935,0.01210500134425018,0.018666237266456377,0.10411563961678594,0.010840066412812445,0.037767595741603856,0.03730615022860349,0.0013917488448791319,1.0
ADP,0.24926273510790622,0.06213191111347423,1.155354592553892e-13,0.15695000740755238,0.024633304825230747,3.422171893321621e-05,0.08929405106288683,0.007973427555221442,0.20844743838814844
ADV,-0.05239994053777711,0.0027457537683625763,1.0,0.014615311139310814,0.00021360731969886275,1.0,0.01290342067151093,0.0001664982650259756,1.0
AUX,-0.005224800387033655,2.7298539084347032e-05,1.0,-0.024849600290121808,0.0006175026345788218,1.0,-5.84518934512416e-05,3.4166238480353006e-09,1.0
CCONJ,-0.02753918092066107,0.0007584064857809028,1.0,-0.035227515831255815,0.0012409778716413792,1.0,-0.0015185319145000241,2.3059391753551085e-06,1.0
