score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling
content_density,0.025133166068470162,0.04651831828166716,0.0005026239636859592,0.00528119783866912,0.017646757628237,1.9544341500184964e-05,0.0043840347314798595,0.007221982018814019,1.9830860137578024e-06
avg_word_length,0.029008518981331038,0.00610494312649125,0.006693381348044011,0.014804854517959232,0.013593197141408624,0.0019797846058748924,0.0016045679840015154,0.0005205624656292515,3.436864706908258e-05
noun_verb_ratio,0.003157410508419035,0.0010210131699189512,0.006576044557058081,0.012084388406202934,0.009791322030514249,0.026326675171313783,0.001683676698751184,0.007523669887674526,5.5474861048528327e-05
freq_nouns,0.017486566536680473,0.01584825966634465,0.017872258340178894,0.0038732514294867594,0.00011384411557040703,0.00433062035984272,0.0041750291668397,0.004424150343253408,9.537263927089422e-05
eGeMAPS_loudness_sma3_percentile20.0,0.0004026893395987449,0.0013759429648545984,0.00041776197394325786,0.012087577339492873,0.010975875006645179,0.008418597155289033,0.008750517655933822,0.011173711611834307,0.006487068012695188
ADJ,0.01435700305106159,0.01210500134425018,0.0017194338511106956,0.008801884569674763,0.010840066412812445,0.0016613696741178533,0.002831470632968395,0.0013917488448791319,0.0008048540717460553
information_words_ratio,0.02885333617621915,0.014717558195876028,0.00030268432972746224,0.004524072394556961,0.006108661489560667,0.0017571154692397196,0.004220169050322088,0.0014147608497784257,0.0006663322910246191
honores_statistic,0.0034947219302720544,0.0010927757309249057,0.011091211999190753,0.008363023139867101,0.00026070765465694855,0.005388525408813176,0.004632972481486422,0.0024229724955769473,0.0030317297612872172
pronoun_noun_ratio,1.1134293447065767e-05,0.0012863878245354492,0.025362072882952696,0.0002639038313630931,8.658740649728865e-06,0.038918424948215714,0.0003421287706319747,0.0012212799051585935,0.0036456707780849382
eGeMAPS_mfcc3_sma3_amean,,0.014898405971229095,0.00884358121515501,,0.002759201351264604,0.003171753034863337,,8.746833640823068e-05,0.0001981766963659638
concr_content,0.007119711499181287,0.00029432274743891975,0.023357391183655752,0.002060290276830056,0.0003065415866791939,0.018128058957347044,0.00015759293609473901,0.0005465644487411958,0.0009633238312641299
PRON,5.721874152989097e-06,0.0007066939899966947,0.039277581131931805,0.00037471515148569754,4.29845845875941e-05,0.0176306595168906,0.00029330470861555765,0.0015052512473524293,0.001053072984786967
NOUN,0.0014961079012259916,0.004400473031646464,0.004366590023934554,0.0002693794025000514,0.00023596709496201518,0.023371636898209838,0.0009027339441569283,0.0003193839355763022,0.002816693690965545
DET,0.0009872430546132849,0.000862518905047263,0.015360024694221543,0.000971753413447345,0.001087207848237736,0.014560798328445678,0.00011980861437476305,0.0020604169278751593,0.0008016506896355654
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.0026115638990344874,0.0033864695873627687,0.0028076363410325963,0.004763202744041632,0.004957993262447169,0.008319036820296336,0.00026901202141015284,0.0004949885789280842,4.690338989005157e-06
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.002394114431906151,0.0021188312092413632,0.002600790280019343,0.006533904263629582,0.005892345263559749,0.00792322050826002,0.0001353680928552274,0.0003865047954317799,6.210996152146028e-05
filler_word_ratio,0.007280171090500729,0.004534836601241974,0.012024288442081572,0.0014040058840466983,0.0009800178251832224,0.0003349957836746544,4.208366063430262e-05,0.0028037424292977737,7.993879528803965e-05
nid_ratio,0.001185386570153448,0.0016412013706772887,0.010486858465784144,0.0015351648338286852,0.010131132799450831,1.6557554049315447e-05,0.00015343150172263725,0.0021919823747745277,8.107277174536898e-05
light_verb_ratio,0.006024560074656939,0.0037652635284603224,0.00040105993556273665,0.002419737600240455,0.0001283282963912076,8.110804600001512e-06,0.011540502414739926,3.681119397449364e-05,0.0019663770507870573
concr_nouns,0.0040480359615483,1.5940534871809683e-07,0.016550557717405566,0.0035432707534957474,0.0002525525540825638,0.003132793887230617,0.0009317271607058328,2.479738301101419e-05,0.0003110765553276969
freq_verbs,0.0031129403186688264,0.0002832830060783748,0.0026443384376489115,0.001101288969691747,0.0002079812652395,0.001775161392176555,0.0012848725524841672,0.005384524206767177,0.0028581375911195415
concr_verbs,0.005232002984388622,0.0004342853761911585,0.0050948873364503105,0.000654712829838898,0.0011271655483560744,0.007118760315745005,0.0011797597639127315,8.091029271857552e-05,0.0003939632773757733
eGeMAPS_slopeV0-500_sma3nz_amean,0.0005804873277665009,0.0013512143246859922,2.6171769768227967e-05,0.002758069796283659,0.003448687793768956,0.0030669899332066513,0.0014724946282757936,0.0013490439282987153,0.0019422482318551624
determiner_noun_ratio,0.0001101518257563634,0.0013363085437771616,0.00783209432441458,0.0031702403054021657,0.003009501277204431,7.985059270240669e-05,0.0004164043556504405,0.0011180975255191891,0.00015144216209773568
SCONJ,,0.0002402728530154661,0.0022960916853829853,,0.0014659484495586491,0.0002784892786118854,,0.00028777543184208514,0.0048402511964747725
aux_verb_ratio,0.0003850378624853833,0.0012667240582240357,0.00022342150340664115,0.0019193350865819125,0.0017980340172029838,0.0005331280863113723,0.0017272311474568931,0.0016249148291960825,0.00164826119891072
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.0031484369366976076,0.002840918827351394,0.002324963935687658,1.5722739012828508e-05,0.00015014826157392264,0.0003025147273503899,0.0005606863933788317,0.0029256591984826172,0.00061795651405582
eGeMAPS_mfcc3V_sma3nz_amean,0.0019908622135074144,0.004043597942049345,0.001278903854883183,0.000997820085994793,0.00020820754623214702,0.0003394706709242818,0.00038333125457942893,0.00032481791999684447,0.0006804297123869423
ADV,0.0002796814211487049,0.0027457537683625763,0.0012428755885806652,0.0022401176396664724,0.00021360731969886275,0.0007894062193608509,0.0007337414593735454,0.0001664982650259756,0.0010911908602678354
AUX,0.00024035599411261624,2.7298539084347032e-05,0.0010739404587665282,0.0006759807011487316,0.0006175026345788218,0.006317783779580141,0.0004819560454961081,3.4166238480353006e-09,0.0019651239832937407
INTJ,0.0019486968036377006,,,0.0011382299668435667,,,6.163696312525199e-06,,
PART,,0.0002605945560257906,0.0002088313485618647,,0.0009636135396583229,0.003582858112546721,,7.049048771049911e-05,0.000658215385375386
CCONJ,3.920505167917389e-05,0.0007584064857809028,0.004940212286199793,0.0016192605727534273,0.0012409778716413792,0.00038107891942242044,9.35015803978387e-05,2.3059391753551085e-06,1.5938485271463037e-05
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.0013468256823139068,0.0013643006363983144,0.0007090879009031346,0.00039844059146250095,0.00015533642787432593,0.0010391785199031982,0.00038196282123727416,0.00012740388962095576,0.000304414817353167
