feature,r_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,p_PhonemicFluencyScore
INTJ,0.04413722332913348,1.0,-0.03386584473695148,1.0,-0.0025610364162470443,1.0
NOUN,-0.037917296965417735,1.0,0.016595894621087487,1.0,-0.029136792585933973,1.0
PRON,0.0024493240373786567,1.0,0.02055282450062645,1.0,-0.01645654856158168,1.0
VERB,-0.2866619938584074,2.0405540473446265e-18,-0.1893368131856495,9.965949315643936e-08,-0.10981499180334249,0.026307048837026684
NOUN/VERB,0.056336556495961726,1.0,0.10911562917793635,0.019630091561139887,0.040700376444943794,1.0
PRON/NOUN,-0.003570980911344495,1.0,-0.015500553159511378,1.0,-0.01846647162736056,1.0
DET/NOUN,-0.011618099682777506,1.0,-0.059451499928354086,1.0,0.016917899404216716,1.0
AUX/VERB,-0.01956385191697229,1.0,0.04311226361073516,1.0,0.040177993015576105,1.0
OPEN/CLOSED,-0.15757537310698952,2.279946243353195e-05,-0.07129702515987592,0.7026920433293902,-0.06500573424643873,1.0
information_words,-0.16885427601074762,3.412035215549208e-06,-0.06637477108628116,0.9639817609713803,-0.06404689257364402,1.0
phonation_rate,0.336635914274568,7.607997419016353e-26,0.29940313114948336,3.7055234877175886e-20,0.18398308167949826,3.129404092817379e-07
total_speech_duration,0.22631773435358965,2.817658534309664e-11,0.11183032992568198,0.015108800422197319,0.03526937872588754,1.0
speech_rate_phonemes,0.26816302580424467,5.104751736636249e-16,0.31171954245694605,6.079662398567125e-22,0.23206008399895156,8.557185318026929e-12
n_pauses,-0.015132612693301403,1.0,-0.14019637230990267,0.0004130958938816311,-0.0915222638707603,0.16823956951166585
total_pause_duration,-0.11041520142207918,0.015830544602389956,-0.18167030081364474,4.3315916489264946e-07,-0.11640970277771046,0.012118433449615497
avg_pause_duration,-0.2348931320266758,3.6283346863296372e-12,-0.15528545854810813,4.266415554833204e-05,-0.10273315732717916,0.055319714341592295
pause_rate,-0.23797228872312445,1.7120394076603059e-12,-0.2678501781143046,5.809575881711454e-16,-0.15098943975390505,9.825280892855264e-05
eGeMAPS_jitterLocal_sma3nz_amean,0.013246049004575072,1.0,0.026615508037016174,1.0,0.015184840495275943,1.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,-0.05611093419911673,1.0,0.003965190917576165,1.0,0.023678817398232365,1.0
article_pause_contentword,0.1723291055993553,1.9364232712293384e-06,0.08221995339276691,0.29284027914082095,0.0508216804996022,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.05110346269123539,1.0,0.06901596006752085,0.8141166165360358,-0.016401585941918935,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.04892968865531592,1.0,0.08083256932468237,0.3210854735984291,-0.01163477945021853,1.0
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.200776024201365,8.222742187506242e-09,-0.14880174547380298,0.00011726332710398034,-0.10523009647005797,0.04276699196923931
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,-0.03669912372678545,1.0,0.019960976716145454,1.0,0.019543869147056685,1.0
eGeMAPS_loudness_sma3_amean,0.19101751358743987,5.964807529296547e-08,0.131423723387953,0.0013794162750541043,0.06457717420642735,1.0
eGeMAPS_loudness_sma3_percentile20.0,0.020067120859723373,1.0,0.10994351886078994,0.018354780782747725,0.09354420161578067,0.14042022258322656
eGeMAPS_mfcc3_sma3_amean,0.10696947795082429,0.022878679803189576,0.06264308786800075,1.0,-0.009096214623753035,1.0
