Score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
Task,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling,cookieTheft,picnicScene,journaling
eGeMAPS_logRelF0-H1-A3_sma3nz_amean,0.019,0.013,0.021,0.040,0.042,0.060,0.051,0.046,0.041
average_word_length,0.012,0.016,0.021,0.127,0.038,0.026,0.018,0.040,0.030
eGeMAPS_loudness_sma3_percentile20.0,0.028,0.028,0.036,0.034,0.032,0.052,0.062,0.031,0.023
concr_verbs,0.029,0.047,0.016,0.020,0.050,0.072,0.030,0.031,0.025
ADV,0.028,0.021,0.018,0.028,0.039,0.064,0.027,0.021,0.073
PRON,0.013,0.013,0.081,0.056,0.013,0.061,0.023,0.028,0.026
eGeMAPS_loudness_sma3_amean,0.045,0.035,0.034,0.032,0.025,0.028,0.035,0.032,0.044
eGeMAPS_shimmerLocaldB_sma3nz_amean,0.013,0.008,0.020,0.023,0.035,0.023,0.081,0.053,0.047
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.017,0.013,0.020,0.043,0.043,0.059,0.027,0.030,0.037
avg_pause_duration,0.010,0.024,0.010,0.036,0.030,0.039,0.040,0.047,0.048
information_words,0.024,0.015,0.024,0.034,0.039,0.041,0.023,0.024,0.056
freq_nouns,0.049,0.019,0.035,0.023,0.024,0.035,0.030,0.027,0.037
INTJ,,0.010,,,0.049,,,0.032,
concr_nouns,0.025,0.011,0.051,0.043,0.035,0.036,0.022,0.024,0.026
DET/NOUN,0.027,0.013,0.019,0.031,0.041,0.028,0.044,0.036,0.029
nid_ratio,0.012,0.024,0.023,0.034,0.043,0.026,0.036,0.022,0.044
AUX,0.021,0.018,0.008,0.028,0.051,0.033,0.019,0.043,0.041
eGeMAPS_slopeV0-500_sma3nz_amean,0.016,0.018,0.021,0.032,0.026,0.025,0.036,0.036,0.050
ttr,0.015,,,0.046,,,0.023,,
ADJ,0.033,0.031,0.010,0.040,0.044,0.024,0.024,0.026,0.022
light_verb_ratio,0.010,0.011,0.011,0.017,0.031,0.045,0.024,0.079,0.024
eGeMAPS_mfcc3_sma3_amean,0.020,0.016,0.019,0.030,0.037,0.042,0.026,0.025,0.025
eGeMAPS_mfcc3V_sma3nz_amean,0.024,0.021,0.011,0.033,0.029,0.030,0.029,0.028,0.029
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.016,0.013,0.016,0.023,0.026,0.036,0.032,0.031,0.036
AUX/VERB,0.018,0.020,0.008,0.020,0.038,0.019,0.018,0.033,0.049
OPEN/CLOSED,0.025,0.010,0.012,0.049,0.019,0.024,0.030,0.022,0.026
freq_verbs,0.016,0.011,0.012,0.019,0.022,0.029,0.029,0.042,0.034
Socioeconomic,0.005,0.005,0.007,0.020,0.031,0.019,0.039,0.046,0.036
PART,0.012,,0.017,0.022,,0.026,0.026,,0.033
article_pause_contentword,0.024,0.020,,0.012,0.014,,0.027,0.025,
eGeMAPS_slopeUV0-500_sma3nz_amean,0.017,0.016,0.019,0.019,0.022,0.027,0.019,0.022,0.018
Education_level,0.013,0.012,0.011,0.032,0.036,0.032,0.014,0.016,0.013
eGeMAPS_jitterLocal_sma3nz_amean,0.008,0.010,0.008,0.018,0.027,0.021,0.031,0.027,0.021
Gender,0.007,0.005,0.004,0.015,0.016,0.018,0.006,0.010,0.005
