subject,y_true,y_pred,error,Gender,Country
1165,13.0,18.217238613271316,5.217238613271316,f,uk
499,10.0,15.21672089339206,5.2167208933920595,m,usa
267,13.0,18.206809497591337,5.206809497591337,f,usa
831,13.0,18.13101976028952,5.131019760289519,m,uk
750,8.0,13.068504596971644,5.0685045969716445,m,usa
1061,9.0,14.028363250647656,5.028363250647656,m,usa
1249,20.0,15.00655691268654,-4.9934430873134605,m,uk
628,20.0,15.1044461113936,-4.8955538886064005,m,usa
492,9.0,13.838970484962312,4.838970484962312,m,usa
1299,13.0,17.832206915717485,4.832206915717485,m,usa
206,13.0,17.748992743753465,4.748992743753465,m,uk
1131,19.0,14.40579443127192,-4.59420556872808,m,usa
375,14.0,18.558313578751175,4.558313578751175,m,uk
1130,19.0,14.451541962546557,-4.548458037453443,m,usa
984,14.0,18.508702210098768,4.508702210098768,m,uk
968,13.0,17.47346886398634,4.473468863986341,f,usa
1369,12.0,16.311863421327413,4.311863421327413,m,usa
626,18.0,13.72720621439104,-4.272793785608959,m,usa
849,14.0,18.24700219170115,4.247002191701149,m,usa
755,8.0,12.236501310509231,4.236501310509231,m,usa
661,13.0,17.23218824704384,4.23218824704384,f,usa
1302,9.0,13.173019401382923,4.173019401382923,m,usa
425,14.0,18.0544397737853,4.054439773785301,f,uk
522,11.0,15.028478837776367,4.028478837776367,f,usa
885,12.0,16.025882167863283,4.0258821678632835,f,usa
471,20.0,16.05373844129792,-3.94626155870208,f,usa
1209,13.0,16.907154928634128,3.907154928634128,f,usa
948,12.0,15.896910274101549,3.8969102741015487,f,usa
264,14.0,17.861607118051822,3.861607118051822,f,usa
782,14.0,17.83927475622696,3.83927475622696,f,uk
665,17.0,13.173390455350766,-3.8266095446492336,f,usa
357,13.0,16.794813740190804,3.794813740190804,f,uk
1102,14.0,17.78187382911935,3.7818738291193483,f,uk
1298,7.0,10.7769339813128,3.7769339813127996,m,usa
1036,11.0,14.75368266337142,3.7536826633714195,f,usa
500,6.0,9.737992638582602,3.737992638582602,m,usa
1007,20.0,16.271092363229762,-3.728907636770238,f,usa
360,14.0,17.708092815128957,3.708092815128957,f,uk
1038,19.0,15.300196391000298,-3.6998036089997015,f,usa
437,14.0,17.695307485034988,3.695307485034988,m,uk
504,8.0,11.68808062538768,3.6880806253876806,m,usa
272,14.0,17.68665093942579,3.686650939425789,f,usa
1220,20.0,16.331833679161424,-3.6681663208385764,m,uk
816,13.0,16.66334439426456,3.663344394264559,f,usa
109,14.0,17.62646956470476,3.6264695647047596,m,uk
145,11.0,14.621781580119222,3.6217815801192224,m,uk
263,13.0,16.588594163836188,3.588594163836188,m,usa
1366,20.0,16.421453163157217,-3.578546836842783,f,usa
583,11.0,14.52800951177476,3.5280095117747603,f,uk
1030,15.0,18.50774802305563,3.5077480230556297,m,usa
173,12.0,15.466254021634418,3.466254021634418,m,uk
794,14.0,17.459762954165072,3.459762954165072,f,usa
322,20.0,16.56188925972784,-3.4381107402721582,f,uk
202,14.0,17.41659698197778,3.4165969819777793,f,uk
1139,20.0,16.61923841459248,-3.3807615854075195,f,usa
1046,20.0,16.635005411783116,-3.3649945882168844,m,usa
369,14.0,17.357085104081392,3.357085104081392,m,uk
321,15.0,18.325592534855975,3.325592534855975,f,uk
450,14.0,17.310174809201534,3.310174809201534,f,usa
580,18.0,14.689866270518412,-3.3101337294815885,m,uk
1032,20.0,16.7071235174062,-3.292876482593801,f,usa
1239,13.0,16.264957866212313,3.2649578662123133,f,usa
814,13.0,16.257440322275322,3.257440322275322,m,usa
1104,15.0,18.2340408051259,3.2340408051259004,f,uk
640,20.0,16.78980903954937,-3.2101909604506282,f,usa
436,20.0,16.796888791984344,-3.203111208015656,f,usa
1053,14.0,17.187891890504112,3.187891890504112,f,usa
510,20.0,16.831975554915914,-3.168024445084086,f,usa
154,13.0,16.162550479906642,3.162550479906642,f,usa
470,14.0,17.14813544416363,3.1481354441636284,f,uk
1115,15.0,18.14513393163529,3.1451339316352893,f,usa
1242,20.0,16.85928306133334,-3.1407169386666602,m,usa
526,15.0,18.129014373213643,3.129014373213643,m,usa
781,20.0,16.883833842313035,-3.1161661576869655,m,usa
110,19.0,15.890189445578931,-3.1098105544210686,m,uk
969,19.0,15.907190704169794,-3.0928092958302056,f,usa
895,20.0,16.910570463696164,-3.089429536303836,f,usa
1170,13.0,16.084682312267862,3.084682312267862,f,usa
207,14.0,17.082357430298327,3.0823574302983268,f,uk
534,20.0,16.928656405688596,-3.0713435943114042,f,usa
917,15.0,18.066576133311145,3.0665761333111448,f,uk
800,20.0,16.940231909218337,-3.059768090781663,f,usa
903,15.0,18.04701826425051,3.047018264250511,f,uk
208,18.0,14.965440140338528,-3.0345598596614725,m,uk
1347,15.0,17.979185930188795,2.9791859301887946,f,uk
1040,15.0,17.96522985902242,2.9652298590224184,m,uk
828,20.0,17.048360251264008,-2.9516397487359924,m,uk
241,15.0,17.94585757992754,2.945857579927541,f,uk
1175,20.0,17.063614486481033,-2.9363855135189674,f,uk
465,14.0,16.889684031014955,2.889684031014955,f,uk
853,20.0,17.123645857159353,-2.876354142840647,f,uk
249,20.0,17.148045184780276,-2.851954815219724,m,uk
312,15.0,17.83100896020739,2.8310089602073916,f,usa
748,20.0,17.172831938865187,-2.827168061134813,f,uk
567,20.0,17.176789322086414,-2.823210677913586,f,usa
1062,18.0,15.181749956481056,-2.818250043518944,f,uk
1048,20.0,17.18359921864123,-2.8164007813587695,f,uk
981,20.0,17.194964702390937,-2.805035297609063,f,uk
533,20.0,17.2304409545747,-2.7695590454253,f,usa
637,19.0,16.23742742066054,-2.7625725793394587,m,usa
710,19.0,16.2487058694797,-2.7512941305203,f,usa
464,13.0,15.750465600356488,2.7504656003564882,f,usa
807,20.0,17.25029473273987,-2.749705267260129,f,usa
758,14.0,16.742406225218225,2.7424062252182253,f,usa
381,18.0,15.268942453881552,-2.731057546118448,m,uk
385,19.0,16.271555078161562,-2.728444921838438,f,uk
1168,20.0,17.27167718447214,-2.7283228155278607,m,usa
520,14.0,16.723451950110295,2.723451950110295,f,usa
1212,11.0,13.716580397772164,2.716580397772164,f,usa
274,20.0,17.286770762803243,-2.7132292371967566,f,usa
1089,20.0,17.293239210286586,-2.706760789713414,m,uk
430,15.0,17.693055759465995,2.693055759465995,f,uk
112,20.0,17.339404502245646,-2.660595497754354,f,usa
1308,10.0,12.657410665859762,2.6574106658597625,m,usa
1058,19.0,16.343273354121127,-2.656726645878873,f,usa
319,20.0,17.345465798197502,-2.654534201802498,f,usa
1027,14.0,16.641528310363597,2.641528310363597,f,usa
177,15.0,17.637728629926773,2.637728629926773,f,usa
652,15.0,17.636202461748702,2.6362024617487023,f,usa
829,20.0,17.36875360321116,-2.631246396788839,m,uk
409,20.0,17.383867971796494,-2.6161320282035057,m,uk
295,18.0,15.386801655003218,-2.613198344996782,m,usa
581,20.0,17.39368545154159,-2.6063145484584105,f,uk
733,19.0,16.396436878426083,-2.6035631215739166,f,uk
519,20.0,17.400917188843227,-2.599082811156773,f,usa
1177,20.0,17.41686804170575,-2.583131958294249,f,uk
648,19.0,16.423428988503442,-2.576571011496558,f,uk
852,15.0,17.57411534132523,2.5741153413252285,f,uk
858,15.0,17.56121999907237,2.561219999072371,m,uk
1194,20.0,17.439601707321973,-2.560398292678027,f,uk
703,15.0,17.55625286889444,2.5562528688944397,f,usa
985,15.0,17.554477088373485,2.554477088373485,f,uk
705,14.0,16.553633844426678,2.5536338444266775,f,usa
368,15.0,17.545933506185143,2.5459335061851434,f,uk
1055,18.0,15.461139390372267,-2.538860609627733,f,usa
