target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,cookieTheft,demographics,2,0.08538596754214767,2.7812733039470086,2.008456478490047,RandomForestRegressor
PictureNamingScore,cookieTheft,demographics,3,0.09087085877296963,2.6170571339589173,1.8640622074900524,RandomForestRegressor
PictureNamingScore,cookieTheft,demographics,4,-0.030129183972885443,2.966196472258434,2.0143500759919863,RandomForestRegressor
PictureNamingScore,cookieTheft,acoustic,0,-0.09639236411306484,2.5469332908716495,1.91698549198581,RandomForestRegressor
PictureNamingScore,cookieTheft,acoustic,1,0.04135633794839921,2.5506348789934514,1.9232181247419242,RandomForestRegressor
PictureNamingScore,cookieTheft,acoustic,2,0.15477103310678808,2.673695365708196,1.9756156201315997,RandomForestRegressor
PictureNamingScore,cookieTheft,acoustic,3,0.23877818649913818,2.394727089367372,1.7579070174221936,RandomForestRegressor
PictureNamingScore,cookieTheft,acoustic,4,0.1169513161897423,2.746289979559784,1.8570074100710467,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic,0,0.0017458707793055472,2.430273361932172,1.8099129000849177,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic,1,0.2090587473246024,2.316817394782575,1.6799457965071838,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic,2,0.33249776819746846,2.376025504891352,1.7510817976760487,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic,3,0.2537553307262038,2.371051764053207,1.6966374988136887,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic,4,0.2007468682600635,2.612740286632445,1.7925931962743655,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic+acoustic,0,0.0028863994292120942,2.4288846431288373,1.8109361760733782,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic+acoustic,1,0.20902622546674343,2.316865025647212,1.723042478717451,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic+acoustic,2,0.3106842020025279,2.4145369345530727,1.7951570079112518,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic+acoustic,3,0.3078838429740728,2.2834415978380136,1.6592686486168595,RandomForestRegressor
PictureNamingScore,cookieTheft,linguistic+acoustic,4,0.2147472542258243,2.589755716257302,1.7611819912737987,RandomForestRegressor
PictureNamingScore,cookieTheft,full,0,-5.1779113329653015e-05,2.432460588346232,1.8090083759703521,RandomForestRegressor
PictureNamingScore,cookieTheft,full,1,0.21185153535497292,2.3127234739960403,1.7219332492619592,RandomForestRegressor
PictureNamingScore,cookieTheft,full,2,0.3129126993885919,2.410630782096121,1.7924847214955473,RandomForestRegressor
PictureNamingScore,cookieTheft,full,3,0.3088832000778563,2.2817924541949384,1.6607147813637382,RandomForestRegressor
PictureNamingScore,cookieTheft,full,4,0.2000755644949309,2.6138372946931927,1.7776984577521875,RandomForestRegressor
PictureNamingScore,cookieTheft,baseline,0,-0.0200728837706019,2.456688939199331,1.8613917861799216,DummyRegressor
PictureNamingScore,cookieTheft,baseline,1,-0.001375968880624523,2.6068633960477503,1.907131613168161,DummyRegressor
PictureNamingScore,cookieTheft,baseline,2,-5.471159883074783e-05,2.9082826823860617,2.052118267059065,DummyRegressor
PictureNamingScore,cookieTheft,baseline,3,-0.003243731608226552,2.7491829511546944,1.8535172506376691,DummyRegressor
PictureNamingScore,cookieTheft,baseline,4,-0.007976229567639326,2.9341290672464644,1.9892913407214252,DummyRegressor
PictureNamingScore,journaling,demographics,0,-0.09447680620753518,2.54470738561311,1.9437989012598516,RandomForestRegressor
PictureNamingScore,journaling,demographics,1,0.05021709569407862,2.5388197355051965,1.8701405184422206,RandomForestRegressor
PictureNamingScore,journaling,demographics,2,0.08538596754214767,2.7812733039470086,2.008456478490047,RandomForestRegressor
PictureNamingScore,journaling,demographics,3,0.09087085877296963,2.6170571339589173,1.8640622074900524,RandomForestRegressor
PictureNamingScore,journaling,demographics,4,-0.030129183972885443,2.966196472258434,2.0143500759919863,RandomForestRegressor
PictureNamingScore,journaling,acoustic,0,-0.06951288759391683,2.5155188733185576,1.8778647542403737,RandomForestRegressor
PictureNamingScore,journaling,acoustic,1,-0.0033603795979835205,2.609445107364227,1.9429364351913472,RandomForestRegressor
PictureNamingScore,journaling,acoustic,2,0.11788505050513587,2.731412724354909,1.9541807971356588,RandomForestRegressor
PictureNamingScore,journaling,acoustic,3,0.07886589881728812,2.634279455337905,1.8160397518039622,RandomForestRegressor
PictureNamingScore,journaling,acoustic,4,0.023436496311131427,2.8880473771790713,1.9746896732837194,RandomForestRegressor
PictureNamingScore,journaling,linguistic,0,-0.023500173588415718,2.4608125291296883,1.8048549239278244,RandomForestRegressor
PictureNamingScore,journaling,linguistic,1,0.07208185547287005,2.50942676080709,1.7938028745786698,RandomForestRegressor
PictureNamingScore,journaling,linguistic,2,0.16293225075789342,2.660755949621193,1.9696156435800647,RandomForestRegressor
PictureNamingScore,journaling,linguistic,3,0.12939108388351372,2.5610141017494326,1.8487642714746015,RandomForestRegressor
PictureNamingScore,journaling,linguistic,4,0.10328613552237764,2.767457823118021,1.8908176812120565,RandomForestRegressor
PictureNamingScore,journaling,linguistic+acoustic,0,0.010318161784205415,2.4198161408306516,1.791420541880992,RandomForestRegressor
PictureNamingScore,journaling,linguistic+acoustic,1,0.09698407553190747,2.475525453159107,1.805872190485898,RandomForestRegressor
PictureNamingScore,journaling,linguistic+acoustic,2,0.18382507193552144,2.6273405089377198,1.95301213996756,RandomForestRegressor
PictureNamingScore,journaling,linguistic+acoustic,3,0.17080060953128218,2.4993662533547254,1.7850636709569778,RandomForestRegressor
PictureNamingScore,journaling,linguistic+acoustic,4,0.10551262136205664,2.7640199732977493,1.8673317877631506,RandomForestRegressor
PictureNamingScore,journaling,full,0,0.01009546514299009,2.420088377116479,1.7928552199521395,RandomForestRegressor
PictureNamingScore,journaling,full,1,0.0977286435687077,2.4745046642790283,1.8030701521834807,RandomForestRegressor
PictureNamingScore,journaling,full,2,0.19159348157675427,2.614807009247437,1.946508330494752,RandomForestRegressor
PictureNamingScore,journaling,full,3,0.17511040075095075,2.4928625221790055,1.7777513784149768,RandomForestRegressor
PictureNamingScore,journaling,full,4,0.09752831582769272,2.7763285602616485,1.8789871685484114,RandomForestRegressor
PictureNamingScore,journaling,baseline,0,-0.0200728837706019,2.456688939199331,1.8613917861799216,DummyRegressor
PictureNamingScore,journaling,baseline,1,-0.001375968880624523,2.6068633960477503,1.907131613168161,DummyRegressor
