Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
469,11.0,20.0,16.0
470,10.0,14.0,13.0
471,15.0,20.0,26.0
472,11.0,20.0,16.0
473,15.0,17.0,15.0
474,14.0,20.0,21.0
477,16.0,20.0,26.0
478,18.0,15.0,17.0
479,19.0,19.0,28.0
480,13.0,19.0,15.0
481,20.0,18.0,20.0
483,15.0,20.0,14.0
484,18.0,19.0,29.0
485,17.0,17.0,14.0
487,21.0,17.0,25.0
488,15.0,14.0,15.0
489,9.0,18.0,28.0
490,10.0,18.0,20.0
491,11.0,17.0,18.0
492,17.0,,20.0
493,15.0,19.0,22.0
494,19.0,18.0,34.0
495,10.0,20.0,29.0
496,23.0,18.0,22.0
497,13.0,18.0,23.0
498,20.0,19.0,20.0
499,11.0,10.0,15.0
500,7.0,,14.0
501,15.0,10.0,12.0
502,13.0,19.0,20.0
503,14.0,16.0,20.0
504,16.0,,12.0
505,17.0,19.0,24.0
506,13.0,20.0,26.0
507,13.0,15.0,10.0
508,14.0,19.0,23.0
509,15.0,19.0,14.0
510,13.0,20.0,15.0
511,10.0,17.0,18.0
514,17.0,16.0,16.0
516,20.0,18.0,25.0
519,26.0,20.0,30.0
520,20.0,14.0,18.0
522,17.0,11.0,16.0
523,16.0,20.0,21.0
524,10.0,19.0,23.0
526,20.0,15.0,24.0
528,18.0,18.0,18.0
530,14.0,18.0,21.0
532,18.0,19.0,18.0
533,19.0,20.0,20.0
534,14.0,20.0,21.0
535,21.0,20.0,27.0
536,9.0,,14.0
537,21.0,20.0,20.0
538,14.0,18.0,15.0
539,6.0,18.0,11.0
540,16.0,18.0,22.0
541,9.0,19.0,19.0
543,19.0,20.0,25.0
545,6.0,19.0,24.0
547,12.0,17.0,10.0
548,18.0,18.0,21.0
549,19.0,19.0,19.0
550,18.0,19.0,23.0
552,5.0,19.0,9.0
553,7.0,20.0,24.0
554,16.0,20.0,26.0
557,19.0,18.0,18.0
558,10.0,20.0,23.0
559,13.0,16.0,17.0
560,17.0,,25.0
562,28.0,19.0,42.0
566,20.0,19.0,19.0
567,14.0,20.0,23.0
568,15.0,19.0,29.0
569,11.0,20.0,23.0
570,19.0,17.0,27.0
574,17.0,19.0,27.0
575,21.0,17.0,31.0
576,11.0,20.0,30.0
577,17.0,20.0,24.0
578,12.0,10.0,13.0
579,21.0,19.0,28.0
580,17.0,18.0,26.0
581,19.0,20.0,22.0
582,16.0,20.0,27.0
583,16.0,11.0,19.0
584,23.0,18.0,29.0
585,13.0,17.0,23.0
586,22.0,17.0,18.0
587,20.0,20.0,31.0
588,13.0,16.0,19.0
589,10.0,20.0,16.0
590,19.0,19.0,24.0
591,25.0,20.0,21.0
592,17.0,19.0,22.0
593,15.0,19.0,23.0
594,18.0,19.0,24.0
596,14.0,18.0,29.0
597,14.0,18.0,20.0
598,19.0,18.0,17.0
600,14.0,18.0,33.0
602,20.0,19.0,17.0
603,15.0,17.0,30.0
604,12.0,17.0,17.0
605,11.0,18.0,26.0
606,20.0,19.0,27.0
607,17.0,19.0,14.0
609,11.0,19.0,17.0
610,6.0,19.0,19.0
611,15.0,17.0,15.0
612,3.0,17.0,13.0
613,15.0,19.0,24.0
614,16.0,11.0,17.0
615,11.0,17.0,25.0
617,13.0,16.0,15.0
618,17.0,17.0,24.0
619,23.0,18.0,29.0
620,19.0,19.0,26.0
621,25.0,19.0,31.0
622,22.0,20.0,33.0
623,23.0,18.0,24.0
624,17.0,19.0,28.0
625,16.0,19.0,19.0
626,14.0,18.0,17.0
627,16.0,19.0,25.0
