Subject_ID,picnicScene,cookieTheft,journaling
403,151.14,105.6,116.64
404,62.1,60.96,74.64
406,61.2,33.0,163.08
407,148.68,88.32,107.82
409,70.144,69.61066666666666,123.712
410,64.74,65.34,67.74
411,63.36,61.86,68.7
415,72.18,62.04,61.8
416,81.72,62.04,84.42
417,62.76,38.22,63.3
419,92.64,72.36,64.02
420,108.792,69.21866666666666,85.90133333333333
421,63.48,61.98,62.46
423,90.72,71.58,139.38
424,62.95733333333333,60.74133333333333,62.64
425,68.94,33.96,75.84
427,73.08,65.52,66.6
428,218.76,88.2,184.38
429,85.26,67.38,93.54
430,56.22,42.9,63.12
431,108.34430839002268,78.32090702947846,210.27990929705214
432,83.35963718820862,62.461678004535145,63.25115646258504
433,103.744,132.352,140.18133333333333
434,84.84,64.08,111.36
436,79.56,58.56,78.54
437,92.1,64.98,105.42
438,80.4,43.08,100.02
439,123.18,116.58,146.52
441,103.44,89.88,259.62
443,111.18,123.24,80.7
444,75.42,67.68,67.26
445,78.78,66.84,74.1
446,218.93333333333334,171.52,100.69066666666667
447,61.98,63.78,76.92
448,68.7,61.56,64.08
449,81.42,69.0,71.22
450,66.3,73.02,111.48
451,62.88,72.06,64.74
454,101.88,61.2,80.4
455,63.48,62.34,59.04
459,213.06133333333332,100.61866666666667,259.16
461,120.66,85.62,79.62
462,59.94,62.46,64.74
463,88.56,67.92,83.82
464,60.54,55.32,58.32
465,71.46,88.26,74.7
466,80.65866666666666,75.74933333333334,64.53866666666667
467,64.68,64.2,61.5
468,68.94,61.08,61.2
469,138.0,3.24,116.22
470,51.43219954648526,66.13043083900227,47.925986394557825
471,66.0,60.84,75.3
472,108.3,125.82,86.88
473,120.3,90.42,302.76
474,67.86,61.32,3.96
477,64.32,65.28,66.48
478,75.12,68.7,70.86
479,85.32,95.52,98.64
480,193.98,119.58,215.82
481,60.3,60.0,59.88
483,90.24,76.8,67.44
484,64.14,71.76,24.12
485,107.64,83.28,183.0
487,73.56,76.14,62.46
488,61.62,62.64,62.04
489,83.53866666666667,65.28,69.02933333333333
490,68.28,61.38,60.42
491,88.62,75.3,78.84
492,38.16,26.642666666666667,65.36533333333334
493,62.34,68.16,84.72
494,62.58,61.14,66.18
495,91.32,59.7,118.5
496,167.46,97.74,132.48
497,152.76,80.52,93.96
498,105.72,100.68,128.58
499,48.48,32.46,57.9
500,63.608,36.21066666666667,67.96266666666666
501,62.3165625,59.7935,71.36654166666666
502,76.02,67.38,64.2
503,61.86,61.56,62.58
504,53.7,59.34,83.76
505,120.84,84.42,104.88
506,124.02,72.42,146.1
507,63.06,48.18,64.26
508,124.14,77.52,108.78
509,89.1,81.18,74.4
510,124.56,90.12,98.82
511,68.22,106.32,77.88
514,120.3,83.52,62.94
516,57.18,4.62,116.22
519,73.32,64.56,81.9
520,86.58,75.48,107.1
522,47.38933333333333,34.730666666666664,52.349333333333334
523,274.6453333333333,160.384,422.8906666666667
524,65.4,61.38,65.82
526,91.68,62.76,125.88
528,132.66,76.98,81.96
530,63.18,60.9,60.72
532,63.715555555555554,61.62575963718821,63.785215419501135
533,74.1,72.0,63.24
534,69.3,62.28,70.92
535,82.02,74.04,79.56
536,63.78,42.54,97.56
537,104.28,77.94,71.16
538,39.12,34.26,61.38
539,62.88,56.7,72.84
540,66.42,73.86,64.26
541,141.12,117.48,144.3
543,116.1,66.42,162.72
545,92.58,64.14,80.46
547,88.5,76.44,103.08
548,80.16,65.88,60.78
549,147.6,76.44,205.86
550,86.7,61.86,84.0
552,121.56,78.72,84.72
553,80.04,66.06,145.02
554,228.42,147.66,325.56
557,86.34,72.42,122.22
558,258.66,148.32,262.44
559,69.18,66.06,66.48
560,62.629333333333335,60.821333333333335,86.96
562,116.64,94.86,64.8
566,71.34,29.46,66.6
567,69.0,65.94,61.8
568,107.16,67.86,156.66
569,86.88,69.84,90.24
570,44.46,35.58,66.0
574,102.12,103.56,98.58
575,40.2,32.16,77.16
576,101.35466666666666,73.728,97.36533333333334
577,98.16,72.72,153.18
578,60.0,85.56,100.14
579,69.6,67.44,62.28
580,37.14,40.2,47.94
