task,target,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,n_subjects
cookieTheft,PictureNamingScore,baseline,full,-0.16012575751661642,-0.2707267809725251,-0.03966934074526628,0.006,0.084,959
cookieTheft,PictureNamingScore,demographics,full,-0.1579696045722201,-0.2647245482275566,-0.04305159091407047,0.006,0.084,959
cookieTheft,PictureNamingScore,acoustic,linguistic+acoustic,-0.14348073732746006,-0.31131302363910907,-0.01924234834620453,0.048,0.528,959
cookieTheft,PictureNamingScore,acoustic,full,-0.1398914906630443,-0.3050287342588332,-0.01674594591171125,0.057,0.5700000000000001,959
cookieTheft,PictureNamingScore,baseline,demographics,-0.0021561529443963677,-0.01674711849268602,0.014298799205492088,0.787,1.0,959
cookieTheft,PictureNamingScore,baseline,acoustic,-0.020234266853572158,-0.1551875424164334,0.2103200099017748,0.794,1.0,959
cookieTheft,PictureNamingScore,baseline,linguistic,-0.08183712681247048,-0.27318732259535994,0.20461465477885696,0.529,1.0,959
cookieTheft,PictureNamingScore,demographics,acoustic,-0.018078113909175787,-0.15073275141628623,0.20930619127758454,0.814,1.0,959
cookieTheft,PictureNamingScore,demographics,linguistic,-0.0796809738680741,-0.2676664050587024,0.20273479640981343,0.533,1.0,959
cookieTheft,PictureNamingScore,acoustic,linguistic,-0.06160285995889831,-0.15890194953195128,0.030991938666762333,0.201,1.0,959
cookieTheft,PictureNamingScore,linguistic,linguistic+acoustic,-0.08187787736856172,-0.28508246006531857,0.028484664314233445,0.486,1.0,959
cookieTheft,PictureNamingScore,linguistic,full,-0.07828863070414596,-0.280437906992861,0.03270490586905482,0.527,1.0,959
cookieTheft,PictureNamingScore,linguistic+acoustic,full,0.0035892466644157645,-0.004507674351203138,0.01213854130390864,0.425,1.0,959
cookieTheft,SemanticFluencyScore,baseline,demographics,-0.0893576381689053,-0.12420696352367702,-0.05507507527430351,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,linguistic,-0.11285567907397247,-0.15928874813081054,-0.06333521008950513,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,linguistic+acoustic,-0.13460994378450472,-0.185652767048328,-0.08024195882095955,0.0,0.0,970
cookieTheft,SemanticFluencyScore,baseline,full,-0.17271550003435818,-0.22719728588754023,-0.11473836125438076,0.0,0.0,970
cookieTheft,SemanticFluencyScore,demographics,full,-0.08335786186545287,-0.13396221369644568,-0.0319544223940562,0.001,0.011,970
cookieTheft,SemanticFluencyScore,linguistic,full,-0.0598598209603857,-0.09758073029267314,-0.02157440873160209,0.004,0.04,970
cookieTheft,SemanticFluencyScore,linguistic+acoustic,full,-0.03810555624985346,-0.06308507818506057,-0.012847650832595144,0.004,0.04,970
cookieTheft,SemanticFluencyScore,acoustic,full,-0.21063481001829995,-0.476947430296046,-0.04688955848203226,0.095,0.76,970
cookieTheft,SemanticFluencyScore,demographics,linguistic+acoustic,-0.045252305615599404,-0.1051749355723957,0.012851127608199907,0.134,0.9380000000000001,970
cookieTheft,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.1725292537684465,-0.44828359649743604,-0.006245872378664858,0.155,0.9380000000000001,970
cookieTheft,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.021754264710532233,-0.052577467646096686,0.010464979961589453,0.161,0.9380000000000001,970
cookieTheft,SemanticFluencyScore,baseline,acoustic,0.037919309983941774,-0.12949194227605554,0.31829921674430334,0.771,1.0,970
cookieTheft,SemanticFluencyScore,demographics,acoustic,0.12727694815284707,-0.04043894455636669,0.41333101046181114,0.496,1.0,970
cookieTheft,SemanticFluencyScore,demographics,linguistic,-0.023498040905067172,-0.07846441759559367,0.03686788954864035,0.426,1.0,970
cookieTheft,SemanticFluencyScore,acoustic,linguistic,-0.1507749890579142,-0.43398410875934545,0.02761575372254643,0.316,1.0,970
cookieTheft,PhonemicFluencyScore,baseline,demographics,-0.01623643139089277,-0.032924919039168846,0.0021719143918148827,0.061,0.915,970
cookieTheft,PhonemicFluencyScore,baseline,acoustic,-0.014259620191168665,-0.06396204489058697,0.054911954048414584,0.652,1.0,970
cookieTheft,PhonemicFluencyScore,baseline,linguistic,0.0009542590837081481,-0.039419510119579476,0.041519580048427165,0.947,1.0,970
cookieTheft,PhonemicFluencyScore,baseline,linguistic+acoustic,-0.009935561208409325,-0.0716004834933485,0.05132917554278881,0.764,1.0,970
cookieTheft,PhonemicFluencyScore,baseline,full,-0.005772176579300318,-0.06696777595957595,0.05765310585171849,0.875,1.0,970
cookieTheft,PhonemicFluencyScore,demographics,acoustic,0.0019768111997241016,-0.04792899284766603,0.07034292449226426,0.926,1.0,970
cookieTheft,PhonemicFluencyScore,demographics,linguistic,0.017190690474600916,-0.025293369645273407,0.059720826176331746,0.411,1.0,970
cookieTheft,PhonemicFluencyScore,demographics,linguistic+acoustic,0.006300870182483443,-0.054295611215035997,0.06683810454529208,0.839,1.0,970
cookieTheft,PhonemicFluencyScore,demographics,full,0.010464254811592449,-0.05049978186794281,0.07179864852609077,0.721,1.0,970
cookieTheft,PhonemicFluencyScore,acoustic,linguistic,0.015213879274876814,-0.05674670887605748,0.07252788428862478,0.643,1.0,970
cookieTheft,PhonemicFluencyScore,acoustic,linguistic+acoustic,0.004324058982759341,-0.040081468726649326,0.0475732511624451,0.887,1.0,970
