Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
1205,9,19,15
1206,19,19,25
1207,22,18,25
1209,11,13,6
1211,4,17,10
1212,12,11,7
1213,5,17,13
1214,12,16,18
1215,19,17,27
1216,22,19,17
1217,12,18,16
1218,15,15,17
1219,14,18,16
1220,13,20,13
1222,7,7,11
1223,13,17,27
1225,16,18,18
1227,16,17,24
1228,20,19,22
1229,16,20,33
1230,15,20,30
1232,12,18,23
1233,18,19,26
1234,12,16,15
1235,9,18,18
1237,20,20,37
1238,25,16,18
1239,15,13,17
1240,13,18,19
1241,11,13,18
1242,12,20,13
1244,13,18,16
1245,3,19,17
1246,24,19,28
1247,7,18,25
1248,14,20,17
1249,3,20,18
1250,18,19,31
1251,10,15,14
1252,15,19,19
1253,18,20,33
1254,15,17,29
1255,11,18,17
1257,16,18,1
1258,18,16,17
1264,9,15,25
1266,17,19,17
1267,12,17,10
1268,17,19,27
1271,10,19,23
1274,15,20,18
1275,8,17,16
1276,14,16,22
1277,13,20,19
1278,21,17,23
1280,21,20,25
1281,17,20,19
1282,21,20,20
1283,25,20,22
1284,18,16,22
1285,18,19,19
1286,13,17,22
1288,18,20,27
1290,12,19,20
1291,9,16,16
1292,13,15,23
1293,12,19,14
1294,10,18,19
1295,18,18,19
1297,21,18,28
1298,12,7,12
1299,22,13,20
1302,11,9,15
1304,19,18,27
1305,14,16,26
1308,18,10,22
1309,14,13,13
1310,13,20,21
1311,21,18,22
1312,28,19,28
1313,10,20,27
1314,12,18,15
1315,14,16,13
1316,9,12,18
1317,20,19,16
1318,11,6,15
1319,17,18,26
1320,11,15,14
1322,12,18,23
1324,14,20,34
1325,18,19,24
1326,15,19,25
1327,7,16,22
1328,15,19,27
1330,15,17,13
1331,19,19,16
1332,10,17,10
1334,19,19,18
1336,9,18,14
1339,10,18,18
1340,15,18,21
1341,12,18,20
1344,15,20,19
1346,14,20,22
1347,14,15,19
1348,18,3,29
1349,18,13,17
1350,22,19,26
1351,15,17,21
1353,16,19,19
1354,14,17,21
1355,16,14,18
1356,10,18,22
1357,15,16,17
1358,13,16,21
1359,8,19,16
1360,17,18,19
1361,19,17,18
1362,17,18,26
1363,10,16,16
1365,11,18,16
1366,19,20,20
1368,8,19,17
1369,13,12,12
1370,17,19,25
