task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
journaling,SemanticFluencyScore,acoustic,linguistic,0.017473896494254775,-0.024959922027031477,0.062015328173796985,0.404,970,1000
picnicScene,SemanticFluencyScore,acoustic,full,-0.07958065739152895,-0.10365907386241262,-0.056137658205417135,0.0,970,1000
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.07148968261042711,-0.095132440055582,-0.047539293052546075,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.10795973660638788,-0.1452911171805577,-0.06905633065123666,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,full,-0.18754039399791683,-0.22315984153751148,-0.1530174841300157,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.14549364992119643,-0.18236655017419715,-0.10920741413159633,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.17944941921681498,-0.21598805648907307,-0.14410279726439548,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,full,-0.14900545565323398,-0.20217031196038654,-0.09964860559920602,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.1069587115765136,-0.1620068687691536,-0.054471422032385586,0.0,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.14091448087213218,-0.19825757929232143,-0.08912312188038418,0.0,970,1000
picnicScene,SemanticFluencyScore,linguistic,full,-0.042046744076720384,-0.0651081105353512,-0.018101612966558177,0.0,970,1000
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.033955769295618554,-0.058058991424414376,-0.008687800765397631,0.004,970,1000
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.008090974781101835,-0.014486916117131324,-0.001758150634831794,0.006,970,1000
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.06942479826170506,-0.12580331486077975,-0.01265847088210312,0.012,970,1000
picnicScene,SemanticFluencyScore,acoustic,linguistic,-0.03753391331480855,-0.07926544933171795,0.004883935745247666,0.07,970,1000
picnicScene,SemanticFluencyScore,baseline,demographics,-0.03853493834468284,-0.07895873759131557,0.008719285901934725,0.1,970,1000
