task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
journaling,PictureNamingScore,baseline,linguistic,-0.09624170582612204,-0.15239324636542126,-0.0382882041798639,0.004,959,1000
journaling,PictureNamingScore,acoustic,linguistic,-0.06690022700642133,-0.11961706268811532,-0.013622264599319495,0.016,959,1000
journaling,PictureNamingScore,linguistic,full,-0.0241429657512152,-0.044884049497674924,-0.004050483793292487,0.018,959,1000
journaling,PictureNamingScore,demographics,linguistic,-0.07082946693197599,-0.130230425990274,-0.013296893928194413,0.022,959,1000
journaling,PictureNamingScore,linguistic,linguistic+acoustic,-0.01947238394821555,-0.04100235110219183,0.0015946094595625496,0.076,959,1000
journaling,PictureNamingScore,linguistic+acoustic,full,-0.0046705818029996495,-0.010254331675978851,0.0013456738556612544,0.112,959,1000
journaling,PictureNamingScore,baseline,acoustic,-0.02934147881970071,-0.08183554300901943,0.022426975655745533,0.28,959,1000
journaling,PictureNamingScore,baseline,demographics,-0.025412238894146046,-0.08233493022081674,0.03645776924839502,0.388,959,1000
journaling,PictureNamingScore,demographics,acoustic,-0.003929239925554661,-0.059145297662974404,0.05244009261990286,0.916,959,1000
picnicScene,PictureNamingScore,acoustic,full,-0.10123914221912025,-0.14460716108870394,-0.060148512753408545,0.0,959,1000
picnicScene,PictureNamingScore,acoustic,linguistic,-0.09611859356139399,-0.15329096304122994,-0.0388262727916485,0.0,959,1000
picnicScene,PictureNamingScore,acoustic,linguistic+acoustic,-0.10202906270085552,-0.1458841364364341,-0.06308795482864364,0.0,959,1000
picnicScene,PictureNamingScore,baseline,acoustic,-0.16317843497633008,-0.2345611820093659,-0.08749363292917718,0.0,959,1000
picnicScene,PictureNamingScore,baseline,full,-0.26441757719545034,-0.34284302153951113,-0.1833325392776375,0.0,959,1000
picnicScene,PictureNamingScore,baseline,linguistic,-0.259297028537724,-0.3365207216478616,-0.1775113399557333,0.0,959,1000
picnicScene,PictureNamingScore,baseline,linguistic+acoustic,-0.2652074976771856,-0.34245377123234305,-0.18488896889454387,0.0,959,1000
picnicScene,PictureNamingScore,demographics,acoustic,-0.13776619608218404,-0.20245448419146872,-0.07332751208080654,0.0,959,1000
picnicScene,PictureNamingScore,demographics,full,-0.2390053383013043,-0.3088866468993322,-0.17127853041072333,0.0,959,1000
picnicScene,PictureNamingScore,demographics,linguistic,-0.233884789643578,-0.3052458660126375,-0.16479502371552332,0.0,959,1000
picnicScene,PictureNamingScore,demographics,linguistic+acoustic,-0.23979525878303956,-0.30843066815459,-0.17163538494776445,0.0,959,1000
picnicScene,PictureNamingScore,baseline,demographics,-0.025412238894146046,-0.08233493022081674,0.03645776924839502,0.388,959,1000
picnicScene,PictureNamingScore,linguistic,linguistic+acoustic,-0.005910469139461529,-0.027013677377382694,0.014585372360468014,0.586,959,1000
picnicScene,PictureNamingScore,linguistic,full,-0.005120548657726263,-0.026201926881782498,0.014308118280915215,0.63,959,1000
picnicScene,PictureNamingScore,linguistic+acoustic,full,0.0007899204817352654,-0.004468629067347749,0.005838522660977516,0.764,959,1000
